POREWATER,,,,,,,,,,,,,,WATER COLUMN,,,,,,,,,,Solid phase,,,,,,,IAPSO,,,,C14,,,,
"Porewater data: alkalinity (Fig 4), DIC (Fig 5), 13C (Fig 6), Ca (Fig 7), in situ pH (Fig 8), Mn (Fig 9), Omega_calcite (Fig 11), Sr (Fig 12), and Keeling analysis (Fig S.3)",,,,,,,,,,,,,,Water column dataa of dissolved oxygen and omega_calcite (Fig 2) and water column DIC comparison (Fig S.2),,,,,,,,,,Solid phase data from cores (Fig 10),,,,,,,IAPSO seawater standards (Fig S.1),,,,Foram C14  calendar ages (Fig S.4),,,,
Sample ID,Station,Water Column Depth (m),Sediment Depth (cm),Alkalinity (μmol/kg),pH (in situ),Silica (μM),DIC (μmol/kg),𝛿13C of DIC (‰),Mn +2 (μmol/kg),Ca +2 (mM),Sr +2 (mM),Omega_calcite (pH/Alk),,Station,Water Column Depth (m),Pressure (decibars),Temperature (°C),Salinty (ppt),Alkalinity (μmol/kg),pH input (lab),DIC (μmol/kg),Omega_calcite (pH/Alk),,Station,Water Column Depth (m),Sediment Depth (cm),Porosity (%),% CaCO3,% Organic C,,Ca (mmol/kg),Sr (umol/kg),Na (mmol/kg),,Station,Water Column Depth (m),Sediment Depth (cm),Foram species,C14 calendar age (yr)
CR1-1-0,1,3223,0,2437.16,7.724,159,2370.2,-0.02,n.d.,10.31,85.51,0.71,,1,3213.14,3256.05,1.86,34.67,2437.16,7.524,2370.2,0.84,,1,3223,0.5,94.37,0.83,1.11,,10.42,88.6,473.2,,1,3223,15.5,N. dutertrei,10830
CR1-1-01a,1,3223,6,n.d.,n.d.,316.1,2575.6,n.d.,n.d.,n.d.,n.d.,n.d.,,1,3189.49,3231.91,1.86,34.67,2436.5,7.523,n.d.,0.84,,1,3223,1.5,92.72,0.09,0.92,,10.42,88.2,468.4,,1,3223,30.5,N. dutertrei,23557
CR1-1-02,1,3223,7,2603.72,n.d.,310,2607.2,-1.27,0.16,n.d.,n.d.,n.d.,,1,3159.76,3201.56,1.86,34.67,2435.65,7.522,2382.8,0.84,,1,3223,2.5,92.17,0.11,0.87,,10.37,88.2,467.8,,2,2650,0.25,N. dutertrei,859
CR1-1-03,1,3223,8,2554.87,7.521,313.9,2573.1,-1.25,2.72,n.d.,n.d.,0.57,,1,3099.64,3140.2,1.85,34.67,2436.68,7.522,2366.3,0.85,,1,3223,3.5,91.26,0.1,0.92,,10.27,86.2,476.2,,2,2650,8.5,G. ruber,2070
CR1-1-04a,1,3223,9,2623.68,n.d.,299.9,2609,n.d.,n.d.,n.d.,n.d.,n.d.,,1,3050.35,3089.91,1.84,34.67,2434.5,7.523,n.d.,0.86,,1,3223,4.5,89.9,0.12,0.86,,10.23,86,472.8,,2,2650,8.5,T. sacculifer,2519
CR1-1-05,1,3223,10,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1,2975.4,3013.45,1.84,34.67,2438.35,7.522,n.d.,0.88,,1,3223,5.5,88.64,0.37,0.9,,10.37,86,481.1,,2,2650,8.5,N. dutertrei,4538
CR1-1-06,1,3223,18,2778.89,7.571,356.1,2666.1,-1.66,28.18,n.d.,n.d.,0.69,,1,2900.63,2937.21,1.83,34.67,2435.85,7.524,2371.4,0.9,,1,3223,6.5,89.26,0.34,1.09,,10.54,88.5,485,,2,2650,27.5,G. ruber,15851
CR1-1-07a,1,3223,23,2775.3,n.d.,382.7,2734.8,n.d.,n.d.,n.d.,n.d.,n.d.,,1,2800.02,2834.66,1.83,34.67,2436.07,7.522,n.d.,0.91,,1,3223,8,88.62,1.91,1.02,,10.65,88.2,487.8,,2,2650,27.5,N. dutertrei,17171
CR1-1-08,1,3223,28,2712.7,7.636,368.6,2705.6,n.d.,35.11,n.d.,n.d.,0.78,,1,2701.04,2733.82,1.83,34.67,2435.87,7.521,2372.4,0.93,,1,3223,10,87.83,2.57,1.03,,10.62,88.2,485.9,,2,2650,27.5,T. sacculifer,15167
CR1-1-09a,1,3223,33,2897.68,n.d.,393.7,2767.9,n.d.,n.d.,n.d.,n.d.,n.d.,,1,2550.45,2580.48,1.86,34.66,2435.09,7.515,n.d.,0.95,,1,3223,12,88,2.09,1.04,,10.58,87.5,485.7,,3,1630,0.25,G. ruber,2840
